15 12.0 220 110
16 12.0 280 110
17 12.0 340 110
18 12.0 400 110
19 12.0 460 110
20 12.0 520 110
1 12.0 0 -150
5 12.0 100 -10
6 12.0 160 -10
7 12.0 220 -10
8 12.0 280 -10
9 12.0 340 -10
10 12.0 400 -10
11 12.0 460 -10
12 12.0 520 -10
13 12.0 100 110
14 12.0 160 110
15 12.0 220 110
16 12.0 280 110
17 12.0 340 110
18 12.0 400 110
19 12.0 460 110
20 12.0 520 110
2 12.0 0 -330
5 12.0 100 -10
6 12.0 160 -10
7 12.0 220 -10
8 12.0 280 -10
9 12.0 340 -10
10 12.0 400 -10
11 12.0 460 -10
12 12.0 520 -10
13 12.0 100 110
14 12.0 160 110
15 12.0 220 110
16 12.0 280 110
17 12.0 340 110
18 12.0 400 110
19 12.0 460 110
20 12.0 520 110
3 12.0 0 -510
5 12.0 100 -10
6 12.0 160 -10
7 12.0 220 -10
8 12.0 280 -10
9 12.0 340 -10
10 12.0 400 -10
11 12.0 460 -10
12 12.0 520 -10
13 12.0 100 110
14 12.0 160 110
15 12.0 220 110
16 12.0 280 110
17 12.0 340 110
18 12.0 400 110
19 12.0 460 110
20 12.0 520 110
4 12.0 0 -690
5 12.0 100 -10
6 12.0 160 -10
7 12.0 220 -10
8 12.0 280 -10
9 12.0 340 -10
10 12.0 400 -10
11 12.0 460 -10
12 12.0 520 -10
13 12.0 100 110
14 12.0 160 110
15 12.0 220 110
16 12.0 280 110
17 12.0 340 110
18 12.0 400 110
19 12.0 460 110
20 12.0 520 110
0 16.0 0 40
5 16.0 100 -10
6 16.0 160 -10
7 16.0 220 -10
8 16.0 280 -10
9 16.0 340 -10
10 16.0 400 -10
11 16.0 460 -10
12 16.0 520 -10
13 16.0 100 110
14 16.0 160 110
15 16.0 220 110
16 16.0 280 110
17 16.0 340 110
18 16.0 400 110
19 16.0 460 110
20 16.0 520 110
1 16.0 0 -140
5 16.0 100 -10
6 16.0 160 -10
7 16.0 220 -10
8 16.0 280 -10
9 16.0 340 -10
10 16.0 400 -10
11 16.0 460 -10
12 16.0 520 -10
13 16.0 100 110
14 16.0 160 110
15 16.0 220 110
16 16.0 280 110
17 16.0 340 110
18 16.0 400 110
19 16.0 460 110
20 16.0 520 110
2 16.0 0 -320
5 16.0 100 -10
6 16.0 160 -10
7 16.0 220 -10
8 16.0 280 -10
9 16.0 340 -10
10 16.0 400 -10
11 16.0 460 -10
12 16.0 520 -10
13 16.0 100 110
14 16.0 160 110
15 16.0 220 110
16 16.0 280 110
17 16.0 340 110
18 16.0 400 110
19 16.0 460 110
20 16.0 520 110
3 16.0 0 -500
5 16.0 100 -10
6 16.0 160 -10
7 16.0 220 -10
8 16.0 280 -10
9 16.0 340 -10
10 16.0 400 -10
11 16.0 460 -10
12 16.0 520 -10
13 16.0 100 110
14 16.0 160 110
15 16.0 220 110
16 16.0 280 110
17 16.0 340 110
18 16.0 400 110
19 16.0 460 110
20 16.0 520 110
4 16.0 0 -680
5 16.0 100 -10
6 16.0 160 -10
7 16.0 220 -10
8 16.0 280 -10
9 16.0 340 -10
10 16.0 400 -10
11 16.0 460 -10
12 16.0 520 -10
13 16.0 100 110
14 16.0 160 110
15 16.0 220 110
